cs_ref_id,src_cs_student_id,gender,age,gpa_4,major,interested_domain,cs_projects,future_career,python_skill,sql_skill,java_skill,gpa_10,gpa_scale_note
CSREF001,1,Male,21,3.5,Computer Science,Artificial Intelligence,Chatbot Development,Machine Learning Researcher,Strong,Strong,Weak,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF002,2,Female,20,3.2,Computer Science,Data Science,Data Analytics,Data Scientist,Average,Strong,Weak,8.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF003,3,Male,22,3.8,Computer Science,Software Development,E-commerce Website,Software Engineer,Strong,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF004,4,Female,21,3.7,Computer Science,Web Development,Full-Stack Web App,Web Developer,Weak,Strong,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF005,5,Male,23,3.4,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Average,Weak,Strong,8.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF006,6,Female,22,3.9,Computer Science,Machine Learning,Image Recognition,Machine Learning Engineer,Strong,Average,Weak,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF007,7,Male,20,3.6,Computer Science,Database Management,SQL Query Optimization,Database Administrator,Average,Strong,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF008,8,Female,21,3.7,Computer Science,Cloud Computing,AWS Deployment,Cloud Solutions Architect,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF009,9,Male,23,3.3,Computer Science,Mobile App Development,Android App,Mobile App Developer,Average,Weak,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF010,10,Female,22,3.5,Computer Science,Computer Graphics,3D Rendering,Graphics Programmer,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF011,11,Male,21,3.8,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Average,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF012,12,Male,22,3.7,Computer Science,Web Development,Full-Stack Web App,Web Developer,Strong,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF013,13,Female,21,3.3,Computer Science,Mobile App Development,iOS App,Mobile App Developer,Average,Weak,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF014,14,Male,23,3.5,Computer Science,Computer Graphics,Game Development,Game Developer,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF015,15,Female,22,3.8,Computer Science,Software Engineering,E-commerce Website,Software Engineer,Strong,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF016,16,Male,20,3.6,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Average,Weak,Strong,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
